NARRATIVE,injury_level
employee taking apart screw mine pushing 10 pvc pipe joint separate hand slipped pipe sprung back striking face received face,Minor
employee installing new flashing new drop chute employee put arm chute freshly cut metal cut upper arm requiring 8 stitch rubber immediately installed top drop chute prevent injury,Minor
changing couple link track 330 cat track hoe driving pin back new link piece steel pin chipped hit employee thigh causing small puncture wound,Major
employee finger got pinched paddle door way scott dryer employee wearing protective glove time,Minor
employee performing routine cleanup shoveling employee strained left side back employee went doctor employee examined possible kidney stone determined left side back strained employee received medication put restricted duty,Major
employee lifting 5 gallon bucket filled kiln brick period several hour,Minor
welding top kiln several day wind rain condition,Minor
employee cleaning muck car foreign struck right eye,Major
employee grinding weld wheel came contact left wrist causing small laceration received 2 lateral stitch,Minor
ee pouring cement east stope realzied hole boot cement water burned right foot went dr medical evaluation time wen conditioned worsened dr placed restricted duty therefore making reportable accident,Major
friday morning rock burst occurred 5500 level 31 stope main epicenter approximately 250 foot east straight ahead 64 foot 31 east stope slight damage accurred stope one shift scaling bolting required put stope back normal operation msha field office boise notified,Minor
employee bending turn slusher struck brake handle,Minor
employee involved exchange word another employee employee poked injured repeatedly chest finger end shift filled minor injury report checked physician placed restricted duty chest inflamation making accident reportable,Major
ee installing rock bolt ee pulling steel drill hole hung causing jack leg drill jerk causing shoulder strain,Major
victim installed dywidag bolt jackleg pulled driver bolt lost balance machine pivoted forward leg victim hand pinch point result laceration pinky finger possible hairline fracture,Minor
employee attempting pull leg jackleg drill muck strained lower back leg sunk muckpile drilling face,Major
employee cutting timber raise crew lifted scrap piece square timber 12 x12 x5 long got balance caught felt pain lower abdomen groin,Major
employee fractured left thumb pinched flange ventline installation shaft,Minor
employee tying rebar 6500 level north bin approx 15 minute work complained hot employee told take rest period get fluid rest drinking water employee became faint lost consciousness one minute employee taken clinic received full duty release,Minor
two employee loading round one tamping powder felt pain upper right arm finished shift worked next shift noticed bruising upper right arm came office taken doctor appointment scheduled mri taken result made reportable accident,Major
small rock burst blew flyrock striking lacerating right arm right cheek,Minor
ee rock bolting rib wall samll loose rock started come moved way hit right arm opposite rib causing small laceration required one suture,Minor
ee bolting back slusher stope rock came back hit left hand causing alaceration little finger wound required suture,Minor
rock fell face hit ee foot loading round,Major
conveyance build enough amp lift loaded conveyance muck 5970 level,Minor
hoist tripped south conveyance approaching dump north conveyance approaching 5970 loading pocket rider either conveyance,Minor
safety check consil hoist checking dog must relax cable set indicator lightbulb ope indicator burned slack rope shut hoist hoistman think light come happened electrician,Minor
truck driver securing load per regulation slipped snow ice covered trailer falling ground breaking left arm bone wrist,Major
welding drill welding retaining strap head steel flashed eye welding hood lowered,Minor
walking slippery surface slipped,Major
tripped walking haul truck complained sore rib visit doctor reveald small fracture lower right rib medical treatment required,Major
welding cutting thought irritation flash burn went clinic found foreign object right eye,Minor
holding tie welding flash burned eye,Major
employee smashed right elbow changing screen crusher wrench slipped nut,Minor
employee slammed right thumb backhoe door,Major
employee walking berm rock rolled underfoot causing ee knee twist ee went dr scheduled surgery ee also condition f rom incident,Major
employee using drill press drill inch hole bit slipping employee using chuck tighten employee stepped right get better position hit foot actuator turning drill bit chuck employee two stitch hand result,Minor
ee removing rock scrubber prybar felt pain left side neck left side went numb waist,Major
ee lifting tank repaired overhead crane mine repair shop tank started lift moved along shop floor rigging centered correctly ee right foot struck tank ee went dr treatment 19 2003 infection great toe ee received rx infection med,Minor
hit corner piece metal shoveling around conveyor,Major
thumb smashed trying punch hole belting hammer belt punch,Minor
haul truck operator backed stockpile approx 25ft landed upside operator wearing seatbelt berm place accident occurred miner head chest trauma,Minor
ee compalined pain groin remember specific date time ee diagnosed hernia ee surgery returned since surgery,Major
emp welding grinding burning point piece metal entered rt eye emp thought flushed eye bother returned monday reported sent eye specialist piece metal imbedded cornea eye,Minor
employee checking screen top crushing plant started back ladder eye path foot missed top step ladder causing fall approximately 8 foot catwalk located next level,Major
employee dismounting skid steer sustained strain placing weight foot,Major
employee alleges cleaning shin hit angle iron hurting back head neck scratched face broke glass seeing chiropractor,Minor
ee performed general clean duty pulverizer pm time chain drive sprocket 3 conveyor head pulley jumped sprocket teeth causing conveyor subsequently entire secondary plant stop operating repair decided remove chain link sledgehammer ee wearing chain tension hit ee,Minor
ee process assembling chute mill building ee attempted move piece steel plate postion swung back struck lower left leg,Major
injured employee traveling foot stepped eneven ground twisted left knee resulting injury,Major
miner fueling greasing d8n dozer start stripping burden bending grease ripper back machine straightened pulled muscle lower back,Major
employee involved sorting organizing finish mill ball pinched middle finger left hand two ball barrel moving received 3 suture negative,Minor
ee stated injured back driving haul road underground already made 31 trip hit hole road 32nd trip,Minor
ee welding large piece hot slag dripped left boot burning ankle ee took boot wrenched left knee ee sitting bucket welding exposing top boot,Major
ee alleges another ee using loaderto lift 3042 jaw boulder breaker onto flatbed trailer giving direction operator slipped ice bucket came right foot,Major
employee alleges walking wet ramp slipped wet area hurting left shoulder employee surgery started losing time date,Major
employee preparing transport load stone stockpile ramp another loader rolled backward ramp striking corner loader late medical report qua lify incident reportable,Major
friday november 19 2010 haul truck driver lifted 35 pound wheel chock replace front cat 785c haul truck felt pain lower back tuesday december 01 2010 physician sent employee mri took work low back strain,Major
preparing adjust impactor opened inspection door pinched finger handle brace,Minor
stepped rock lost balance causing fall fell left side landing several omega block went hospital diagnosed two fractured rib,Major
fall roof foudn examiner fall located nason right travelway 69 70 xcut fall 9 high 21 wide 45 long due weakened strat,Minor
operator received notification ee sufficient degree pneumoconiosis eligible part 90 right,Minor
main portal elevator began functioning erratically noon 17 removed service troubleshoot bottom door roller dragging gate switch bottom w adjusted elevator placed back service pm,Minor
main portal elevator experienced problem automatic door pm troubleshooting revealed door linkage bent tobe straightened repairing putting bac k service problem experienced lower door switch repair made elevator placed back service,Minor
new face conveyor section installed injured ee helping align steel haulage track assembly another ee removed movabletrack assembly steel conveyor casting ee su stained crush injury end finger,Minor
broken cable pulley main portal elevator door elevator repaired inspected put back service,Minor
slope hoist inoperable wire control cabinet engine room shorted repair made hoist put back service,Minor
employee dismounting d8 dozer checking oil grabbed handhold right hand stepped back platform foot slipped causing right shoulder hand pulled hard employee worked shoulder surgery started missing work day,Major
employee starting 2 gasoline powered water pump pump kicked back causing pull cord jerk pulling employee right hand employee hand sruck pump causing laceration index middle finger right hand requiring medical attention resulting 10 stitch,Minor
ee holding inlet spout super sack discharge chute portable hopper used transfer hopper approx 2000 material inside would flow operator hit top hopper loader bucket causing hopper fall back pin ee hand fork forklift hopper discharge chute,Major
ee b1 4 recovery 7 x cut ee building omega wall lifting block head felt pain groin area pelvis left side dr left side groin hernia worked repair surgery,Major
b1 installing roof bolt rt foot slipped striking roof bolt mast arm felt pain pop tear lt shoulder arm striking roof bolt mast torn rotator cuff lt houlder dr report received,Major
roof fall location main e 4 crosscut 105 entry dimension geology soft medium dark gray shale prominent roof jointing slip roof roof support 5 fully grouted bolt,Minor
employee alledges walking back dinner hole stumbled lump coal fell backwards pulling hamstring right leg,Major
roadway past cowling barn employee driving mantrip crossing belt top fell bolt striking employee left forearm piece rock approximately 19 x 19 x 2 thick causing severe hematoma possible injury left upper arm shoulder also,Major
ee walking alongside railroad track next car stumbled sand ee tried stop fall stretching landed fractured wrist,Major
ee walking around coiled water hose tripped fell floor landing left hip resulting ruptured disc lower back injury required surgery,Major
repairing concrete jaw crusher lifted object felt inguinal groin strain,Major
ee inside screen holding housing bolt turning deister serviceman started drawing bolt bolt driven flew ee struck mouth breakin g right upper incissor,Minor
lifting railroad tie tie rolled smashed employee left middle finger received crushing type injury,Major
employee attempting start weed eater strained right arm device restriction pulling starter rope,Major
employee slipped climbing ladder front end loader ice snow present,Major
employee descending fixed ladder cat 980c end loader foot slipped descending employee identified felt strain right knee,Major
employee turning around move harness stepped rock rolling right ankle,Minor
employee reaggravated injury working stand monitor water cannon employee experienced pain due vibration water cannon handle,Major
ee opening bottom door rail car clean compartment sttated strained lower back,Major
employee stepped rock twisted back accident became reportable employee went doctor day away work recomended,Major
employee lifting oil drum back pick truck,Minor
conveyor leading wash plant 1 loaded skidster usually used cleanoff conveyor mechanical repair reduce load conveyor 6 ee manu ally unloaded conveyor shovel ee coming lost footing fell bed pick truck fall occurred foot,Major
ee assisting maintenance work helping lift valve lifting task ee apparently strained elbow due persistent pain ee taken medical evaluation diagnosed tendonitis elbow provided medication placed restrictive duty,Major
unintentional roof fall 21 3 ep 3 entry 25 long x 25 wide 8 high intersection mined bolted 8 tr bolt proped around going clean,Minor
washing jig floor slipped twisted right knee started missing work,Major
roof fall occurred unit 1 xcut 4 5 entry 5330 station height width length 31,Minor
unintentional roof fall occurred unit 2 entry 7 fall occurred due roof failure slip running diagonally intersection fall originally supported 5 roof bolt fall approximately 16 wide 25 long high fall cleaned,Minor
roof fall occurred 4 entry 5th north 11 12 crosscut fall l fall affect ventilation travel damage equipment cause injury area bolted 6 point anchor,Minor
roof fall occurred int 12 th east 3 entry 4210 station fall 25 wide 25 long 8 high affect ventialtion travel damage equipment cause injury area bolted 8 point anchor bolt,Minor
walking intersection stepped hole straining back,Major
roof fall occurred 13th east 3entry 41 crosscut fall 30 x 25 x 7 fall affect travel ventillation damage equipment cause injury area bolted 6 8 point anchor bolt,Minor
roof fall occurred 3rd west 7 entry 38 crosscut fall 26 wide 26 long 8 high area bolted 6 8 point anchor bolt fall affect ventilation damage equipment cause injury,Minor
employee reaching water plate fell hit hand requiring stitch,Minor
roof fall occurred 2nd west submain 3 entry 32 crosscut fall 20 l x 20 w x area bolted 6 8 point anchor bolt fall affect ventilation travel cause injury damage equipment,Minor
employee smashed right thumb,Major
cleaning planatary miner jammed thumb,Minor
ee said getting cab ram car hurt left knee,Major
injured dragging tractor drag ran piece rock road bounced tractor threw canopy tractor straining neck muscle,Major
injured building brattice 1 unit curtain flag hanging curtain car driver ram car ran thru curtain hit trailer block hitting injured left leg car driver sound horn flash light going thru curtain,Major
dynamic brake working hoist electric panel checked control trans 2 dtode bad part changed woist operating correctly 925,Minor
roof fall found 2 entry 1 survey station 31 60 5 section fall measured 40 w x 20 l x 10 area mined oct 2001 bolted 6 resin pin injury occurred however kenndy stopping damaged plan clean fall,Minor
cleaning top continuous miner rock weighing 20 lb fell 2 striking operator tip middle finger even though operator wearing glo f rock smashed tip finger behind nail exposing back nail breaking bone beneath nail bed treatment included suturing,Minor
roof fall found located four way intersection entry 0 173 main south fall 20 w x 20 l x 10 h area mined 1997 supported 8 full resin bolt injury property damage resulted current plan clean fall,Minor
drill steel got caught roof due suction problem worked pot regain air flow steel dropped roof struck left middle finger impact resulted laceration required suture close treatment released return work,Minor
drilling install roof bolt loose shale fell striking employee upper lip two stitch needed close laceration,Minor
employee checking tire mantrip apparantly contacted sharp edge left forearm realize cut noticed blood dripping hand laceration left forearm required 10 staple close treatment released work,Minor
piece shale fell removing drill steel roof landing drill mast falling hitting right thumb steel thumb swelled diagnosed small fracture released work without restriction,Minor
bolting rock fell roof striking right little finger top wrench revealed fracture last knuckle initially returned work without restriction follow visit scheduled surgeon advised installing pin joint placing limited work restriction,Major
roof fall found survey station entry 66rms fall four way intersection mined supported 8 full resin bolt plan clean fall injury resulted approx 200 cable lost,Minor
employee carrying rack wheel face felt pain back,Major
7an unintentional roof fall occurred 6th west longwall entry 2 1500 west fall long wide thick fall affect ventilation passage mi ners fall cleaned fall 19a,Minor
ee backing miner ramcar felt something hit eye came around safety glass,Major
walking unit ee tripped roof bolter cable causing roll foot,Major
unintentional roof fall occurred 6th w 3 entry 1200 fall long 18 wide 6 8 thick affect ventilation passage miner fall area behind gob,Minor
rock fell roof striking ee backof head,Minor
unintentional roof fall millenium portal 5n headgate entry 2 4368n crosscut fall approx 35 long approx 20 wide approx 13 thick fall cleaned,Minor
unintentional roof fall occurred millennium portal 4n longwall headgate entry 2 2352 north crosscut fall approximately 50 long 30 wide 8 thick fall affect ventilation fall cleaned,Minor
unintentional roof fall occurred galatia north portal 5625 tailgate entry 12 west longwall fall approx 40 long approx 18 wide approx 10 thick fall affect ventilation fall cleaned,Minor
employee handling crib mud knee ee twisted hand crib next man ready ee stop motion keep hitting next man receive crib,Major
ee operating shuttle car hit hole travelway causing bounce canopy car,Major
employee dragging water pipe strained back,Major
employee stacking block overcast wing wall collapsed causing employee fall several foot belt entry reportable lost time injury,Major
employee stepped hole causing lower back pain reportable lost time injury april 23,Major
shearer cutting bad top rock fell headgate drum causing thrown handrail strike ee,Minor
employee hanging 2 inch pipe pipe bind slipped hitting employee mouth medical treatment injury,Minor
employee checking hydraulic hose leak hydraulic oil punctured skin right index finger palm hand,Major
employee putting curtain board bolt fell striking right middle finger medical treatment injury,Minor
employee picking rock rock slipped mashed right ring finger rock longwall pan medical treatment injury,Minor
ee walking breaker station stepped 4 foot deep hole full water left walkway contractor flagged,Major
roof fall 3rd west 2nd south entry 2 3 xc approx lenght 30 height 6 width 10 bolted 60 fully grouted bolt,Minor
roof fall occurred intersection 1 entry station 3rd west fell approx 1 anchor point fall approx 6 high x 18 long developed june jennmar 6 rebar 60 fully grouted resin bolt,Minor
roof fall cross cut 4 5 entry 2nd south way tag marker 5 fall length 100 ft 18 wide 15 ft high area bolted 12 ft long bolt fall cleaned rebolted,Minor
ee cutting piece wire rope,Major
mantrip top hit steel arch top mantrip came hit ee head causing injury,Major
employee moving belt drive beam drive setting kicked hitting left leg ankle,Major
ee picking air hammer slipped fell sustained unkown injury lower back,Major
employee operating bucket hoist glove left hand got entangled pulley resulting laceration required suture fracture little fingertip,Minor
ee cleaning cooler pit lifted ramp wheel barrel set dumping felt pull groin area ramp weighed approx 30 lb,Major
employee repairman walking pull curtain along rib walked head curtain struck coal rib side head,Major
started complaing hand hurting going numb loosing grip started missing work surgery,Minor
unintentional entry 8 one injured ventiletion passage mess affected fall caused hidden slip,Minor
unintentional roof fall occurred 2 entry 3c area bolted 48 fully grouted bolt fall 30 l x 20 w x 6,Minor
fall intake 3 entry 10 30 approx x x developed approx 6 fully grouted bolt,Minor
employee stated hit head walking thru curtain employee doctor care non work related neck injury operator believe event caused injury report filed abate citation 6667465,Major
unintentional roof fall occurred 6 entry station 2nd north main 3rd west submain return fall affect ventilation passege men fall timbered dangered cleaned measured 75 foot x 75 foot x 7 foot high previously supported 4 foot fully grouted roof bolt,Minor
employee examiner stated making route walking slipped going underpass pain left right ankle started missing work,Major
unintentional roof fall occured intersection 1st east return 11 entry station fall affect ventilation unit shut stopping line area bolted 6 foot roof bolt fall measured 24 foot x 20 foot x 10 foot,Minor
belt recovery work employee removed bottom roller bracket one side beltline put roller bind pulled hard roller came loose smashing middle finger right hand roller belt rail employee taken hospital finger pinned stitched,Major
ee finished shift walking car stepped parking block twisted ankle dr told sprain worked 10th dr told second visit fractured filled report 12th ee severe diabetic,Major
run water mine surface area entered mine drift thunderstorm water partially blocked intake escapeway entry developed 80 150 foot highwall water pumped mine injury damage equipment occurred,Minor
ee bent pick shovel ee felt sharp pain lower back,Major
fall 4 entry unit 2 mmu 002 4 inby spad length 37 39 width 20 thickness 6,Minor
cutting cable knife slipped cutting left hand,Minor
4 unit belt line 10 length 60 x width 20 x thickness,Minor
slipped walking beltline tried catch felt pain right shoulder surgery began missing work,Major
pushing rock top miner rock broke fell sharp edge another rock cutting right forearm required three stitch,Minor
helping mechanic splice bolter cable slipped belt knife cutting left thumb 4 stitch,Minor
working free chain chain hoist one end hooked pulling chain came loose stuck upper lip received stitch,Minor
checking sump pump ran beam jamming neck started missing work,Major
roof fall occured unit 2 panel entry 3 survey station fall measured x x area bolted grouted bolt approach area timbered,Minor
employee carrying 16 roof mat hand slipped causing laceration required suture close,Minor
occured 2 unit room 6 survey station 1 20 return room fall measured 30 long x 19 wide x 6 thick area bolted 6 fully grounded resin bolt approach area timbered,Minor
lowering tower light plant hand slipped winch handle struck left hand,Major
employee claim hand going numb running arm diagnosed carpel tunnel right hand started missing work went surgery right wrist,Minor
employee washing tower using water hose said hurt lower back pulling kink hose,Major
ee injured concrete hose using place concrete surged due air pocket line end line jumped side hitting ankle taken hospital determined ankle broken put cast sent home released light duty work time,Minor
miner handling screen wire mesh felt shoulder pop went work surgery left shoulder,Major
changing ram shield hit elbow inside shield,Minor
employee installing 8 bolt adding 4 extension steel initial steel dropped pod came steel resting boot right foot caused steel come thru top boot smashing middle toe right foot toe amputated,Major
ie sealing stopping picking bucket sealant dropped bucket liquid splashed eye given prescription eye drop physician,Major
employee hit muck bucket knocked form fractured left shoulder,Major
roof bolter employee stepped lost balance fell bolter twisting knee hitting back foot,Major
employee slipped fell holding drill sprained left knee,Major
ee got concrete inside work boot continued work concrete made chemical burn left foot ankle,Major
employee making face section left number 2 entry walked left side roof bolter checked top atrs located struck piece rock bent back injured lower back,Major
unintentional roof fall occurred pm inby 21 headgate 2 number 3 entry 14 foot wide 14 foot left side 9 foot high,Minor
employee cutting belt prepare belt splice ran knife across left hand accident received stitch behind left thumb left hand returned work,Minor
employee right hand miner looking jana screen someone else attempted start cutting motor employee said miner bit despite uncertainty whether mine related injury reporting precautionary measure,Major
employee pit building water stand employee flipping picked beam something popped left index finger received sprain left index finger employee restricted able work restricted,Major
ee welding indide primary crusher slipped twisted right knee ee reported injury didnt want treatment ee decided would get treatment,Major
chain fall pulley accident got finger caught chain,Minor
friday april 22 beginning approx 6 pm three power outage occured upon restarting 3 kiln coal firing system explosion occured within mill ductwork safety rupture disc burst designed personal injuires property damage sustained,Minor
approximately kiln operator received alarm east west explosion vent opened 2 kiln coal mill system inerting system required safety check completed internal inspection conducted accumulation coal found around inside explosion vent framework,Minor
ee cutting galvanized grating inhaled fume zinc oxide throughout day later evening ee became taken hospital treated zinc oxide poisoning,Minor
employee pulling tanker dome lid open strained lower back restriction made lost time accident,Major
standing ground employee began climb work area placed foot brace ice snow resulted slipping falling,Minor
employee changing roll plastic stretch wrap machine completing task reached walkway door close left hand hand clear door closing causing pinch left hand door door frame jerked hand back get causing cut scrape hand,Major
employee exiting hopper door 2fm 1 dc screw stepladder using tipped fell approx 5ft floor landed back struck back head floor employee evaluated company physician evaluation determined head contusion injury noted employee placed work restriction climbing,Major
ee closing 506 main elevator door got hand caught door,Minor
ee cleaning 1 clinker chute long clinker belt pinched finger chute housing steel bar using clear chuncks chute,Major
ee working 777 haul truck going check broken cooling line stepped steamer line another ee using time line rolled causing twi st knee result medial meniscal tear first day missed reportable,Major
employee working warm air damper beck operator 2 kiln trying tighten arm beck opeerator wrench reaching around behind operator wrench slipped mashing finger wrench beck support brace,Minor
employee walking step east side finish room apron conveyor step clinker slipped fell breaking right ankle,Major
employee holding grate clay grate another employee used 2lb hammer employee missed mark hit ee right thumb hammer,Major
using cut wheel grinder cutting piece steel,Minor
victim helping place spool cable stand got finger spool stand causing laceration requiring suture,Major
cutting piece conveyor belt knife slipped belt cut hand,Minor
ee believed airlock plugged machine use lock procudure ee remved plate chute stuck hand discharge chute hand contracted energized airlock finger 3 cut,Major
miner cleaning spillage conveyor belt tail section guard tail box stepped concrete block supporting tail section twisted right ankle inward,Major
injured employee clearing rock discharge end conveyor belt freed obstruction injured left pinkey finger skirt board,Major
employee cutting piece chain cutting torch particle rust went safety glass left eye,Minor
subject moving scrap metal piece looking piece metal big enough repair blackjack gear guard subject picked piece metal felt sharp pain right side groin area,Minor
employee inventory material pile lost footing loose material twisted knee suffered severe pain transported local hospital,Major
unknown 11 dia bore hole mined west divot pit bore hole located map filled water liberatine methane gas gas ignited thr owing rag lit small flame foot high weak burned top hole wind would blow hole marked later plugged concrete ee notified lo,Minor
ee servicing haulage truck parked pit ground snow ice covered walking around truck ee slipped fell ground landing knee side ee seek medical help worked diagnosed injury started missing work,Major
employee putting right fork back forktruck lifted fork slide place slipped fell floor pinching middle ring finger right hand,Minor
employee stated operating coal hauler truck hit hole road causing jar back ee worked reported back sore went time reported work,Major
ee walking plant begin shift step uneven part catwalk w hich cause dinjury left knee ee knee bent slightly,Major
injured lifting 104 piece 4 channelsteel installed primary grizzly lifted twisted place channel conveyor belt grizzly time back spasm started incapactitating,Major
ash buildup inside coal bin caused smoke flame bin emptied ash buildup removed problem noticed since date coal bin involved,Minor
attempting open manual slide gate injured felt pop lower back injured reported injury initially request medical attention,Major
hoist lost power mine evacuated power outage due electrical problem hoist motor control chief electrician called next morning ass situation abb company also contacted electricain replaced fuse hoist power came back started right,Minor
ee sitting 771 haul truck loaded 988 loader spoil pit floor hauled dump ee said truck rocked heard pop felt pain go back,Major
removing grease gun end fitting grease gun fell striking victim mouth causing chipped tooth,Minor
ee swinging sledge hammer hitting board install housing hammer kicked back ee hand hit pin shaker,Major
employee bent shoveling spilled material rock either came screen conveyer hit clavicle back first went home quitting time back got sore went hospital found cracked bone work least week return restriction may 30 31,Major
employee using utility knife strip electrical wire attempting repair light service truck knife slipped cut finger,Minor
employee standing maintenance shop co worker playing around hit stack shovel carrying lower back,Major
ee grinding old weld feeder wheel late shift ee noticed something eye thought dust later eveing home eye bothered went er remo ved foreign object left eye followup ophthalmologist,Minor
employee completing repair feeder portion feederslipped lacerated employee left little finger,Minor
ee climbing ladder 190 ton end dump end shift ee said got muscle cramp left bicep woke middle night arm swollen pain,Major
ee working 1800 shovel pulling cable track frame got first finger right hand smashed cable pin finger needed stitch,Minor
electric impact wrench use opening wide around body wrench plastic grid molded across opening small piece broken llowing finger come contact moving fan wrench taken service,Major
employee repairing step 992 loader using 4 grinder wearing safety goggles small piece metal collected clothing small piece metal blown wind right eye taken local piece metal removed given 2 prescription opthalmic medication returned work restriction,Minor
mechanic attempting put bearing spacers hoisted cylinder crane cylinder slipped catching hand striking elbow tire incident reported management first aid injury followup visit orthopedic specialist taken fracture rt forearm indicated,Major
ee walking across concrete floor struck hardhat head metal pipe caused upper body go backwards legsstayed forward taking strain fell tr ied get unable taken stretcher ambulance took davy community hospital given negative,Major
employee drove haul truck bench resulted laceration leg,Minor
employee cut thumb sharp piece grating sand classifier,Minor
roof bolting time incident process installing inside bolt right side bolter time rock thick fell inby atrs cantilevered 3 outby atrs took running rock struck back leg struck right heel back left leg top boot causing knee jerk forwa,Major
fall occurred crosscut 20 7 entry 4liw area mine fall intersection measured 18 wide 40 long high affect equipment people air outby area caused coal rider 5 range,Minor
ee roof bolting time incident drilling hole outside bolt rib rock fell roof finished drilling hole started install bolt tripped rock fallen tried catch falling placed right hand boom arm caught index finger boom canopy post,Major
roof fall occurred 3 west crosscut 9 entry 6 cause fall weak laminated shale fall adjacent roadway 7 entry,Minor
ee repairing broken drive chain 2b belt drive unit removed top half belt drive chain using pry bar raise chain could get broken link bottom case either bar slipped slack chain fell ber either case bar pinched finger chain laceration required stitch,Minor
roof bolter operator process adding extension drill steel finish drill hole bolt process drill steel fell mine roof striking injured left middle finger causing laceration individual wearing metacarpal glove time incident,Minor
ee working coal hauler charger unit 5 coal hauler station ee gone power center returning charger stepped rut twisted right knee continued work underwent arthiscopic surgery repair,Major
injured cleaning belt structure 1 belt crosscut using gloved hand wiping dust glove got caught troughing roller belt incident caused partial amputation ring finger right hand first joint,Major
injured employee caught airlock door diesel mantrip employee suffered non displaced fracture right femur,Major
hart street portal elevator computer experienced malfunction computer unable determine location elevator shaft computer reset problem corrected functional test run performed elevator returned service,Minor
ee shoveling stone 15 conveyor catwalk working way conveyor came end catwalk stepped catwalk falling g round access ladder place end catwalk,Major
employee operating loader kawasaki 115z111 caught fire employee looked back loader fire fire large hot local fire department responded extinguished 1 hour injury ee reported fire msha via telephone,Minor
ee positioning broken piece cat 992 bell crank approx 200 lb overhead hoist bell crank made contact shop floor slack chain allowed become un hooked occurred piece shifted fell onto left foot diagnosed fracture left great toe,Major
employee fueling fuel truck stationary fuel tank stepped block wall truck slipped hit right leg thought would day later leg started swell received right lower leg,Major
ee pulling piece conveyor belt belt came contact mine timber causing timber fall striking ee top right foot,Major
roof fall occurred intersection 13 main west belt entry slip present water soft shale about2 ft abobe anchorage horizon mud band also present area roof fall 28 wide 38 long 6 high intersection fall cleaned supported,Minor
employee felt pain back using sledge hammer,Major
employee building crib threw crib block conveyor belt struck finger crib block belt structure,Minor
faal roof occured 1 unit 1 entry 53 xcut 3 xcuts inby spad 1541 approx x area bolted fully grouted 6 resin bolt cause appeared hidden slip water drippers approx 9,Minor
fall roof occured 5 entry x51 2 unit approx 35 l w area bolted 6 point anchor bolt cause fall appeared hidden slip,Minor
bent scoop hooking battery felt pain back,Major
ee walking beside slope belt stepped rock lost balance fell belt bounced back onto back,Major
roof fall occurred 1 entry 1f panel 4 l 40 x w 18 x 10 roof bolted 6 fully grouted bolt,Minor
roof fall occurred 2 3n54y 14 cut 2nd west entry l70 x roof bolted 6 point anchor,Minor
roof fall occurred x cut 17 1 entry 2nd west cold roof bolted fully grouted bolt,Minor
ee process splicing shuttle car cable 1 unit trimmed part cable cut right thumb belt knife received suture,Minor
roof fall occurred outby 4 unit entry 3 9 xcut fall fall neutral entry intersection fall area supported anchor roof bolt fall cleaned,Minor
roof fall occurred main north belt x cut fall damaged belt structure fall approx 20 l x 19 w x 25 h fall cleaned arch installed,Minor
unintentional roof fall occurred along second west conveyor beltline 86 crosscut area supported 10 point anchor roof bolt roof fall cleaned area properly,Minor
employee installing roof bolt bolting fresh cut starting drill steel rotation steel roof small piece rock fell area drill point striking chin resulting 1 deep laceration chin,Minor
ee roof bolting 1 unit suction roof bolter became stopped ee lowered pot leaving drill steel roof put left hand drill pot drill steel fell drill hole roof steel landed left ring finger little finger causing fracture ring finger,Minor
unintentional roof fall occurred 4th south sub main entry 6 cross cut fall 55 long x 18 wide x 12 high intersection bolted 10 point anchor roof bolt area fractured lamanated rock,Minor
roof fall occurred working section crosscut 10 entry 5 section 3rd west panell 1st main south fall measureds approx 30 ft long 18 ft wide 8 ft high area contained slip water contained thinly caminated shale primary support area 5 ft fully grouted resin bolt,Minor
roof fall occurred 1 south 5 panel 22 crosscut 5 entry intersection fall measure approx 20 long 5 wide 4 high area supported 4 fully grouted resin bolt,Minor
roof fall occurred 2n 5 main 46 xc 3 entry fall measure approximately 20 x 18 wide 6 high area supported 5 fully grouted roof bolt,Minor
continuation existing roof fall discovered 2 north 3 main 28 crosscut 8 entry fall measure approximately 30 long 18 wide 8 foot thick area supported 5 foot fully grouted resin bolt 12 foot cable bolt,Minor
roof fall occurred 2 north 5 main 65 crosscut 3 entry fall measure approximately 25 foot long 18 foot wide 14 foot thick area supported 5 foot fully grouted resin bolt,Minor
roof fall discovered 2 north main crosscut 9 3 4 entry fall approximately 25 foot long 17 foot wide 5 foot thick area supported 5 foot fully grouted resin bolt,Minor
reportable roof fall occurred 3 unit crosscut 21 2 entry crosscut 3 entry 2 entry mined mining crosscut unbolted area fell extended 2 entry pulling 7 torque tension bolt,Minor
roof fall discovered 2 north 1 main 9 crosscut 1 2 entry fall measure approx 60 foot long 18 foot wide 5 foot thick area supported 5 foot fully grouted resin bolt,Minor
roof fall occurred 2 unit 5 entry 8 crosscut fall measure approx 20 long 16 wide 12 thick area supported 5 torque tension bolt 12 cable bolt,Minor
roof fall occurred 2 west 4 main crosscut 41 42 5 entry fall measure approximately 50 long 18 wide thick roof fall covered 2 west 4 belt flite location,Minor
employee taking rock miner rock smashed finger rock rib resulting fracture,Minor
employee walking tripped berm cable falling ground employee taken good samaritan could diagnose condition ankle present time due condition employee see specialist indianapolis remain work uncertain period time,Major
injured employee troubleshooting alternator cat n doxer instructed operator reenter cab start dozer could check voltage used right hand check alternator belt tension time dozer started resulting partial amputaion right index finger,Major
unintentional roof fall occurred intersection south east main 8 entry cause roof fall laminated unconsolidated shale anchorage point area supported 6 fully grouted roof bolt,Minor
employee stated watching cable continuous miner tramming employee stated picked miner cable started walking backwards pulling cable get knot employee stated stepped rock approximately 10 diameter twisted right knee,Major
